state_key,rl_recommended_action,expected_reward,visit_count,policy_reason
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,68.5288,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=68.5288)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,74.2309,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=74.2309)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_high|promo_cost_low,multi_store_transfer,45.103,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_high|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=45.103)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_low|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_low|promo_cost_low,promotion,64.416,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_mid|promo_cost_low,multi_store_transfer,72.128,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=72.128)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,65.668,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=65.668)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_mid|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_short|transfer_cost_high|promo_cost_low,promotion,64.416,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_short|transfer_cost_high|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,67.785,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=67.785)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,76.152,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=76.152)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_high|promo_cost_low,promotion,64.416,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_high|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_low|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
